,Accession,Dataset,Tissue,CellLine,PrimaryCell,Lab,Link,DataType,Controls
348,ENCFF000AXU,/experiments/ENCSR000APY/,.,H1,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000AXU/@@download/ENCFF000AXU.bigWig,signal,"/files/ENCFF000AVF/, /files/ENCFF000AVG/, /files/ENCFF000AVH/, /files/ENCFF000AVM/, /files/ENCFF000AVR/, /files/ENCFF303YPV/, /files/ENCFF400SCD/, /files/ENCFF178MIM/, /files/ENCFF740ECI/, /files/ENCFF145GCJ/, /files/ENCFF659UFR/, /files/ENCFF164ZWM/, /files/ENCFF809ZPN/, /files/ENCFF508ZFI/, /files/ENCFF763DAQ/, /files/ENCFF805KPU/, /files/ENCFF036EGF/, /files/ENCFF191QXK/, /files/ENCFF663FLW/, /files/ENCFF689EIT/, /files/ENCFF698YIB/, /files/ENCFF837MEC/, /files/ENCFF635VQA/, /files/ENCFF064XIS/, /files/ENCFF472QMD/, /files/ENCFF138KKQ/, /files/ENCFF368CYL/, /files/ENCFF393KUX/, /files/ENCFF401LXB/, /files/ENCFF064DDT/, /files/ENCFF452JET/, /files/ENCFF234FUH/, /files/ENCFF292NRA/, /files/ENCFF241XBE/, /files/ENCFF711MVG/, /files/ENCFF370QWD/, /files/ENCFF037PMO/, /files/ENCFF850EIY/, /files/ENCFF727XHW/, /files/ENCFF790CGF/, /files/ENCFF447DQQ/, /files/ENCFF243MTV/, /files/ENCFF344OKG/, /files/ENCFF504ZFN/, /files/ENCFF473WBH/, /files/ENCFF994DDP/"
353,ENCFF001HTI,/experiments/ENCSR000DWE/,.,K562,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001HTI/@@download/ENCFF001HTI.bigWig,raw signal,"/files/ENCFF001HTM/, /files/ENCFF001HTN/, /files/ENCFF001HTT/, /files/ENCFF873PSH/, /files/ENCFF518TNE/, /files/ENCFF789FCV/, /files/ENCFF465CVS/"
354,ENCFF001HTL,/experiments/ENCSR000DWE/,.,K562,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001HTL/@@download/ENCFF001HTL.bigWig,raw signal,"/files/ENCFF001HTM/, /files/ENCFF001HTN/, /files/ENCFF001HTT/, /files/ENCFF873PSH/, /files/ENCFF518TNE/, /files/ENCFF789FCV/, /files/ENCFF465CVS/"
359,ENCFF001FWU,/experiments/ENCSR000DWD/,.,K562,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001FWU/@@download/ENCFF001FWU.bigWig,raw signal,"/files/ENCFF001HTM/, /files/ENCFF001HTN/, /files/ENCFF001HTT/, /files/ENCFF873PSH/, /files/ENCFF518TNE/, /files/ENCFF789FCV/, /files/ENCFF465CVS/"
360,ENCFF001FWX,/experiments/ENCSR000DWD/,.,K562,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001FWX/@@download/ENCFF001FWX.bigWig,raw signal,"/files/ENCFF001HTM/, /files/ENCFF001HTN/, /files/ENCFF001HTT/, /files/ENCFF873PSH/, /files/ENCFF518TNE/, /files/ENCFF789FCV/, /files/ENCFF465CVS/"
365,ENCFF001FKK,/experiments/ENCSR000DTZ/,.,HeLa-S3,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001FKK/@@download/ENCFF001FKK.bigWig,raw signal,"/files/ENCFF001HNF/, /files/ENCFF001HNH/, /files/ENCFF001HNS/, /files/ENCFF909YLO/, /files/ENCFF883FFC/, /files/ENCFF111FGZ/, /files/ENCFF780LIV/"
366,ENCFF001FKL,/experiments/ENCSR000DTZ/,.,HeLa-S3,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001FKL/@@download/ENCFF001FKL.bigWig,raw signal,"/files/ENCFF001HNF/, /files/ENCFF001HNH/, /files/ENCFF001HNS/, /files/ENCFF909YLO/, /files/ENCFF883FFC/, /files/ENCFF111FGZ/, /files/ENCFF780LIV/"
367,ENCFF000BXD,/experiments/ENCSR000AKQ/,.,K562,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000BXD/@@download/ENCFF000BXD.bigWig,signal,"/files/ENCFF000BVZ/, /files/ENCFF000BWA/, /files/ENCFF000BWK/, /files/ENCFF117OYK/, /files/ENCFF392XRJ/, /files/ENCFF977WHL/, /files/ENCFF885VML/, /files/ENCFF994FIB/, /files/ENCFF402EPP/, /files/ENCFF222TAO/, /files/ENCFF156ECZ/, /files/ENCFF199NQH/, /files/ENCFF561WFK/, /files/ENCFF185XBW/, /files/ENCFF283HQV/, /files/ENCFF574XYY/, /files/ENCFF505AGU/, /files/ENCFF237KKO/, /files/ENCFF296OHW/, /files/ENCFF829HZY/, /files/ENCFF245PJA/, /files/ENCFF192XTF/, /files/ENCFF893MMO/, /files/ENCFF019ENS/, /files/ENCFF150ZCH/, /files/ENCFF319GFP/"
369,ENCFF000ZPE,/experiments/ENCSR000EXY/,.,Raji,.,"Peggy Farnham, USC",https://www.encodeproject.org/files/ENCFF000ZPE/@@download/ENCFF000ZPE.bigWig,signal,
370,ENCFF000VIZ,/experiments/ENCSR000EXI/,.,Panc1,.,"Peggy Farnham, USC",https://www.encodeproject.org/files/ENCFF000VIZ/@@download/ENCFF000VIZ.bigWig,signal,"/files/ENCFF000VJK/, /files/ENCFF000VJM/, /files/ENCFF000VJN/, /files/ENCFF843DLH/, /files/ENCFF025ODI/, /files/ENCFF675MQQ/, /files/ENCFF703KFY/"
371,ENCFF000ZPO,/experiments/ENCSR000EXX/,.,Raji,.,"Peggy Farnham, USC",https://www.encodeproject.org/files/ENCFF000ZPO/@@download/ENCFF000ZPO.bigWig,signal,"/files/ENCFF000ZPD/, /files/ENCFF000ZPE/, /files/ENCFF000ZPM/, /files/ENCFF971KPK/, /files/ENCFF275RMZ/, /files/ENCFF259YZQ/, /files/ENCFF835ZVB/"
373,ENCFF001GGU,/experiments/ENCSR000DXZ/,.,WI38,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001GGU/@@download/ENCFF001GGU.bigWig,raw signal,"/files/ENCFF001HYV/, /files/ENCFF001HYW/, /files/ENCFF001HZB/, /files/ENCFF036SIR/, /files/ENCFF070KUR/, /files/ENCFF790RGH/, /files/ENCFF681UDE/"
374,ENCFF001GGV,/experiments/ENCSR000DXZ/,.,WI38,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001GGV/@@download/ENCFF001GGV.bigWig,raw signal,"/files/ENCFF001HYV/, /files/ENCFF001HYW/, /files/ENCFF001HZB/, /files/ENCFF036SIR/, /files/ENCFF070KUR/, /files/ENCFF790RGH/, /files/ENCFF681UDE/"
379,ENCFF000VHH,/experiments/ENCSR000EXE/,.,NT2/D1,.,"Peggy Farnham, USC",https://www.encodeproject.org/files/ENCFF000VHH/@@download/ENCFF000VHH.bigWig,signal,"/files/ENCFF000VII/, /files/ENCFF000VIJ/, /files/ENCFF000VJV/, /files/ENCFF000ZMW/, /files/ENCFF000ZMZ/, /files/ENCFF000ZNE/, /files/ENCFF585ORN/, /files/ENCFF513RSP/, /files/ENCFF205KMO/, /files/ENCFF293DEQ/"
387,ENCFF001EUC,/experiments/ENCSR000DQU/,.,GM06990,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001EUC/@@download/ENCFF001EUC.bigWig,raw signal,"/files/ENCFF001HAZ/, /files/ENCFF001HBA/, /files/ENCFF001HBK/, /files/ENCFF897RSN/, /files/ENCFF186FRO/, /files/ENCFF262KDA/, /files/ENCFF131LGY/"
388,ENCFF001EUD,/experiments/ENCSR000DQU/,.,GM06990,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001EUD/@@download/ENCFF001EUD.bigWig,raw signal,"/files/ENCFF001HAZ/, /files/ENCFF001HBA/, /files/ENCFF001HBK/, /files/ENCFF897RSN/, /files/ENCFF186FRO/, /files/ENCFF262KDA/, /files/ENCFF131LGY/"
390,ENCFF001GFL,/experiments/ENCSR000DXR/,.,SK-N-SH,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001GFL/@@download/ENCFF001GFL.bigWig,raw signal,"/files/ENCFF001HXR/, /files/ENCFF001HXS/, /files/ENCFF001HYC/, /files/ENCFF476JOC/, /files/ENCFF968MUT/, /files/ENCFF005RVN/, /files/ENCFF328BRW/"
391,ENCFF001GFN,/experiments/ENCSR000DXR/,.,SK-N-SH,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001GFN/@@download/ENCFF001GFN.bigWig,raw signal,"/files/ENCFF001HXR/, /files/ENCFF001HXS/, /files/ENCFF001HYC/, /files/ENCFF476JOC/, /files/ENCFF968MUT/, /files/ENCFF005RVN/, /files/ENCFF328BRW/"
393,ENCFF001FDW,/experiments/ENCSR000DSS/,.,H7,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001FDW/@@download/ENCFF001FDW.bigWig,raw signal,"/files/ENCFF001FEJ/, /files/ENCFF001FEV/, /files/ENCFF001FFI/, /files/ENCFF837HRZ/, /files/ENCFF043XTH/, /files/ENCFF683ZRU/, /files/ENCFF615SNK/"
394,ENCFF001FDY,/experiments/ENCSR000DSS/,.,H7,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001FDY/@@download/ENCFF001FDY.bigWig,raw signal,"/files/ENCFF001FEJ/, /files/ENCFF001FEV/, /files/ENCFF001FFI/, /files/ENCFF837HRZ/, /files/ENCFF043XTH/, /files/ENCFF683ZRU/, /files/ENCFF615SNK/"
398,ENCFF001GGL,/experiments/ENCSR000DXY/,.,WI38,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001GGL/@@download/ENCFF001GGL.bigWig,raw signal,"/files/ENCFF001HYQ/, /files/ENCFF001HYU/, /files/ENCFF001HYX/, /files/ENCFF041ZZY/, /files/ENCFF694ANH/, /files/ENCFF203DVL/, /files/ENCFF714FTU/"
399,ENCFF001GGM,/experiments/ENCSR000DXY/,.,WI38,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001GGM/@@download/ENCFF001GGM.bigWig,raw signal,"/files/ENCFF001HYQ/, /files/ENCFF001HYU/, /files/ENCFF001HYX/, /files/ENCFF041ZZY/, /files/ENCFF694ANH/, /files/ENCFF203DVL/, /files/ENCFF714FTU/"
403,ENCFF000BBR,/experiments/ENCSR000AOC/,.,HeLa-S3,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000BBR/@@download/ENCFF000BBR.bigWig,signal,"/files/ENCFF000BAF/, /files/ENCFF000BAH/, /files/ENCFF000BAI/, /files/ENCFF000BAO/, /files/ENCFF000BAU/, /files/ENCFF954DWW/, /files/ENCFF713YQB/, /files/ENCFF818YAG/, /files/ENCFF432JPE/, /files/ENCFF250XLH/, /files/ENCFF930VIN/, /files/ENCFF451SVK/, /files/ENCFF385UZW/, /files/ENCFF820FDY/"
405,ENCFF000AVT,/experiments/ENCSR000ASY/,.,H1,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000AVT/@@download/ENCFF000AVT.bigWig,signal,"/files/ENCFF000AVF/, /files/ENCFF000AVG/, /files/ENCFF000AVH/, /files/ENCFF000AVM/, /files/ENCFF000AVR/, /files/ENCFF303YPV/, /files/ENCFF400SCD/, /files/ENCFF178MIM/, /files/ENCFF740ECI/, /files/ENCFF145GCJ/, /files/ENCFF659UFR/, /files/ENCFF164ZWM/, /files/ENCFF809ZPN/, /files/ENCFF508ZFI/, /files/ENCFF763DAQ/, /files/ENCFF805KPU/, /files/ENCFF036EGF/, /files/ENCFF191QXK/, /files/ENCFF663FLW/, /files/ENCFF689EIT/, /files/ENCFF698YIB/, /files/ENCFF837MEC/, /files/ENCFF635VQA/, /files/ENCFF064XIS/, /files/ENCFF472QMD/, /files/ENCFF138KKQ/, /files/ENCFF368CYL/, /files/ENCFF393KUX/, /files/ENCFF401LXB/, /files/ENCFF064DDT/, /files/ENCFF452JET/, /files/ENCFF234FUH/, /files/ENCFF292NRA/, /files/ENCFF241XBE/, /files/ENCFF711MVG/, /files/ENCFF370QWD/, /files/ENCFF037PMO/, /files/ENCFF850EIY/, /files/ENCFF727XHW/, /files/ENCFF790CGF/, /files/ENCFF447DQQ/, /files/ENCFF243MTV/, /files/ENCFF344OKG/, /files/ENCFF504ZFN/, /files/ENCFF473WBH/, /files/ENCFF994DDP/"
408,ENCFF000AII,/experiments/ENCSR000AVH/,.,A549,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000AII/@@download/ENCFF000AII.bigWig,signal,"/files/ENCFF000AGZ/, /files/ENCFF000AHA/, /files/ENCFF000AHB/, /files/ENCFF000AHE/, /files/ENCFF000AHJ/, /files/ENCFF227MOQ/, /files/ENCFF514TMK/, /files/ENCFF284JEI/, /files/ENCFF569SHN/, /files/ENCFF990BDZ/, /files/ENCFF274LEX/, /files/ENCFF800GUG/, /files/ENCFF698OND/, /files/ENCFF016EQS/, /files/ENCFF289PMY/"
410,ENCFF001FBY,/experiments/ENCSR000DST/,.,H7,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001FBY/@@download/ENCFF001FBY.bigWig,raw signal,"/files/ENCFF001FEJ/, /files/ENCFF001FEV/, /files/ENCFF001FFI/, /files/ENCFF837HRZ/, /files/ENCFF043XTH/, /files/ENCFF683ZRU/, /files/ENCFF615SNK/"
411,ENCFF001FBZ,/experiments/ENCSR000DST/,.,H7,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001FBZ/@@download/ENCFF001FBZ.bigWig,raw signal,"/files/ENCFF001FEJ/, /files/ENCFF001FEV/, /files/ENCFF001FFI/, /files/ENCFF837HRZ/, /files/ENCFF043XTH/, /files/ENCFF683ZRU/, /files/ENCFF615SNK/"
412,ENCFF001FMV,/experiments/ENCSR000DUK/,.,HFF-Myc,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001FMV/@@download/ENCFF001FMV.bigWig,raw signal,"/files/ENCFF001HOO/, /files/ENCFF001HOP/, /files/ENCFF001HOY/, /files/ENCFF111JEG/, /files/ENCFF355KUJ/, /files/ENCFF602PBZ/, /files/ENCFF198DHL/"
413,ENCFF001FMW,/experiments/ENCSR000DUK/,.,HFF-Myc,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001FMW/@@download/ENCFF001FMW.bigWig,raw signal,"/files/ENCFF001HOO/, /files/ENCFF001HOP/, /files/ENCFF001HOY/, /files/ENCFF111JEG/, /files/ENCFF355KUJ/, /files/ENCFF602PBZ/, /files/ENCFF198DHL/"
414,ENCFF001EOI,/experiments/ENCSR000DPR/,.,AG09309,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001EOI/@@download/ENCFF001EOI.bigWig,raw signal,"/files/ENCFF001GXG/, /files/ENCFF001GXH/, /files/ENCFF001GXK/, /files/ENCFF525BCB/, /files/ENCFF098RZI/, /files/ENCFF100UUE/, /files/ENCFF137BYR/"
415,ENCFF001EOJ,/experiments/ENCSR000DPR/,.,AG09309,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001EOJ/@@download/ENCFF001EOJ.bigWig,raw signal,"/files/ENCFF001GXG/, /files/ENCFF001GXH/, /files/ENCFF001GXK/, /files/ENCFF525BCB/, /files/ENCFF098RZI/, /files/ENCFF100UUE/, /files/ENCFF137BYR/"
422,ENCFF000BGB,/experiments/ENCSR000AMP/,.,HepG2,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000BGB/@@download/ENCFF000BGB.bigWig,signal,"/files/ENCFF463RRE/, /files/ENCFF574VLI/, /files/ENCFF162ADN/, /files/ENCFF066LYG/, /files/ENCFF642ZJC/, /files/ENCFF474ZPM/, /files/ENCFF854ELY/, /files/ENCFF356QYZ/, /files/ENCFF608CWZ/, /files/ENCFF881CNC/, /files/ENCFF369RYY/, /files/ENCFF653JWL/, /files/ENCFF255TUT/, /files/ENCFF274GMA/, /files/ENCFF122NRW/, /files/ENCFF645CCA/, /files/ENCFF719TUA/, /files/ENCFF303SPG/, /files/ENCFF149EKR/, /files/ENCFF943MYJ/, /files/ENCFF265ZJL/, /files/ENCFF705NOL/, /files/ENCFF569GTH/, /files/ENCFF165PBN/"
423,ENCFF000BWT,/experiments/ENCSR000APC/,.,K562,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000BWT/@@download/ENCFF000BWT.bigWig,signal,"/files/ENCFF000BVZ/, /files/ENCFF000BWA/, /files/ENCFF000BWK/, /files/ENCFF117OYK/, /files/ENCFF392XRJ/, /files/ENCFF977WHL/, /files/ENCFF885VML/, /files/ENCFF994FIB/, /files/ENCFF402EPP/, /files/ENCFF222TAO/, /files/ENCFF156ECZ/, /files/ENCFF199NQH/, /files/ENCFF561WFK/, /files/ENCFF185XBW/, /files/ENCFF283HQV/, /files/ENCFF574XYY/, /files/ENCFF505AGU/, /files/ENCFF237KKO/, /files/ENCFF296OHW/, /files/ENCFF829HZY/, /files/ENCFF245PJA/, /files/ENCFF192XTF/, /files/ENCFF893MMO/, /files/ENCFF019ENS/, /files/ENCFF150ZCH/, /files/ENCFF319GFP/"
425,ENCFF000AQA,/experiments/ENCSR000AQW/,.,DND-41,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000AQA/@@download/ENCFF000AQA.bigWig,signal,"/files/ENCFF000ANS/, /files/ENCFF000ANU/, /files/ENCFF000ANX/, /files/ENCFF000AOF/, /files/ENCFF000AOG/, /files/ENCFF596NBD/, /files/ENCFF520YRJ/, /files/ENCFF181BIE/, /files/ENCFF531LXG/, /files/ENCFF095OKQ/, /files/ENCFF247ZSR/, /files/ENCFF245LFR/, /files/ENCFF833VDQ/, /files/ENCFF217HXU/"
429,ENCFF001FYQ,/experiments/ENCSR000DWP/,.,NB4,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001FYQ/@@download/ENCFF001FYQ.bigWig,raw signal,"/files/ENCFF001HUN/, /files/ENCFF001HUO/, /files/ENCFF001HVB/, /files/ENCFF504UBQ/, /files/ENCFF312FHK/, /files/ENCFF853WVC/, /files/ENCFF010VRA/"
430,ENCFF001FEH,/experiments/ENCSR000DSR/,.,H7,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001FEH/@@download/ENCFF001FEH.bigWig,raw signal,"/files/ENCFF001FEJ/, /files/ENCFF001FEV/, /files/ENCFF001FFI/, /files/ENCFF837HRZ/, /files/ENCFF043XTH/, /files/ENCFF683ZRU/, /files/ENCFF615SNK/"
431,ENCFF001FEI,/experiments/ENCSR000DSR/,.,H7,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001FEI/@@download/ENCFF001FEI.bigWig,raw signal,"/files/ENCFF001FEJ/, /files/ENCFF001FEV/, /files/ENCFF001FFI/, /files/ENCFF837HRZ/, /files/ENCFF043XTH/, /files/ENCFF683ZRU/, /files/ENCFF615SNK/"
437,ENCFF000AJS,/experiments/ENCSR000ASV/,.,A549,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000AJS/@@download/ENCFF000AJS.bigWig,signal,"/files/ENCFF000AHC/, /files/ENCFF000AHD/, /files/ENCFF000AHF/, /files/ENCFF000AHM/, /files/ENCFF000AHV/, /files/ENCFF948UNV/, /files/ENCFF482SGU/, /files/ENCFF043PUQ/, /files/ENCFF114ODP/, /files/ENCFF408NTN/, /files/ENCFF987CPC/, /files/ENCFF957AOI/, /files/ENCFF502CGT/, /files/ENCFF271TLF/, /files/ENCFF122PEM/, /files/ENCFF719NBM/, /files/ENCFF550UKJ/, /files/ENCFF824LNT/"
438,ENCFF000AJA,/experiments/ENCSR000AVI/,.,A549,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000AJA/@@download/ENCFF000AJA.bigWig,signal,"/files/ENCFF000AHC/, /files/ENCFF000AHD/, /files/ENCFF000AHF/, /files/ENCFF000AHM/, /files/ENCFF000AHV/, /files/ENCFF948UNV/, /files/ENCFF482SGU/, /files/ENCFF043PUQ/, /files/ENCFF114ODP/, /files/ENCFF408NTN/, /files/ENCFF987CPC/, /files/ENCFF957AOI/, /files/ENCFF502CGT/, /files/ENCFF271TLF/, /files/ENCFF122PEM/, /files/ENCFF719NBM/, /files/ENCFF550UKJ/, /files/ENCFF824LNT/"
439,ENCFF000BDS,/experiments/ENCSR000AME/,.,HepG2,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000BDS/@@download/ENCFF000BDS.bigWig,signal,
441,ENCFF000VFR,/experiments/ENCSR000EWR/,.,MCF-7,.,"Peggy Farnham, USC",https://www.encodeproject.org/files/ENCFF000VFR/@@download/ENCFF000VFR.bigWig,signal,"/files/ENCFF000VGM/, /files/ENCFF000VGO/, /files/ENCFF000VGP/, /files/ENCFF000VHL/, /files/ENCFF000VHM/, /files/ENCFF846QOW/, /files/ENCFF791WJU/, /files/ENCFF076CJL/, /files/ENCFF839GWH/, /files/ENCFF891EBF/, /files/ENCFF610RHP/, /files/ENCFF162ZAB/, /files/ENCFF166QBJ/"
444,ENCFF000BGH,/experiments/ENCSR000AOM/,.,HepG2,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000BGH/@@download/ENCFF000BGH.bigWig,signal,"/files/ENCFF463RRE/, /files/ENCFF574VLI/, /files/ENCFF162ADN/, /files/ENCFF066LYG/, /files/ENCFF642ZJC/, /files/ENCFF474ZPM/, /files/ENCFF854ELY/, /files/ENCFF356QYZ/, /files/ENCFF608CWZ/, /files/ENCFF881CNC/, /files/ENCFF369RYY/, /files/ENCFF653JWL/, /files/ENCFF255TUT/, /files/ENCFF274GMA/, /files/ENCFF122NRW/, /files/ENCFF645CCA/, /files/ENCFF719TUA/, /files/ENCFF303SPG/, /files/ENCFF149EKR/, /files/ENCFF943MYJ/, /files/ENCFF265ZJL/, /files/ENCFF705NOL/, /files/ENCFF569GTH/, /files/ENCFF165PBN/"
445,ENCFF000BGT,/experiments/ENCSR000AMQ/,.,HepG2,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000BGT/@@download/ENCFF000BGT.bigWig,signal,"/files/ENCFF463RRE/, /files/ENCFF574VLI/, /files/ENCFF162ADN/, /files/ENCFF066LYG/, /files/ENCFF642ZJC/, /files/ENCFF474ZPM/, /files/ENCFF854ELY/, /files/ENCFF356QYZ/, /files/ENCFF608CWZ/, /files/ENCFF881CNC/, /files/ENCFF369RYY/, /files/ENCFF653JWL/, /files/ENCFF255TUT/, /files/ENCFF274GMA/, /files/ENCFF122NRW/, /files/ENCFF645CCA/, /files/ENCFF719TUA/, /files/ENCFF303SPG/, /files/ENCFF149EKR/, /files/ENCFF943MYJ/, /files/ENCFF265ZJL/, /files/ENCFF705NOL/, /files/ENCFF569GTH/, /files/ENCFF165PBN/"
447,ENCFF000AQY,/experiments/ENCSR000ARC/,.,DND-41,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000AQY/@@download/ENCFF000AQY.bigWig,signal,"/files/ENCFF000ANS/, /files/ENCFF000ANU/, /files/ENCFF000ANX/, /files/ENCFF000AOF/, /files/ENCFF000AOG/, /files/ENCFF596NBD/, /files/ENCFF520YRJ/, /files/ENCFF181BIE/, /files/ENCFF531LXG/, /files/ENCFF095OKQ/, /files/ENCFF247ZSR/, /files/ENCFF245LFR/, /files/ENCFF833VDQ/, /files/ENCFF217HXU/"
451,ENCFF000BYX,/experiments/ENCSR000APE/,.,K562,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000BYX/@@download/ENCFF000BYX.bigWig,signal,"/files/ENCFF000BVZ/, /files/ENCFF000BWA/, /files/ENCFF000BWK/, /files/ENCFF117OYK/, /files/ENCFF392XRJ/, /files/ENCFF977WHL/, /files/ENCFF885VML/, /files/ENCFF994FIB/, /files/ENCFF402EPP/, /files/ENCFF222TAO/, /files/ENCFF156ECZ/, /files/ENCFF199NQH/, /files/ENCFF561WFK/, /files/ENCFF185XBW/, /files/ENCFF283HQV/, /files/ENCFF574XYY/, /files/ENCFF505AGU/, /files/ENCFF237KKO/, /files/ENCFF296OHW/, /files/ENCFF829HZY/, /files/ENCFF245PJA/, /files/ENCFF192XTF/, /files/ENCFF893MMO/, /files/ENCFF019ENS/, /files/ENCFF150ZCH/, /files/ENCFF319GFP/"
456,ENCFF000AHY,/experiments/ENCSR000AUG/,.,A549,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000AHY/@@download/ENCFF000AHY.bigWig,signal,"/files/ENCFF000AGZ/, /files/ENCFF000AHA/, /files/ENCFF000AHB/, /files/ENCFF000AHE/, /files/ENCFF000AHJ/, /files/ENCFF227MOQ/, /files/ENCFF514TMK/, /files/ENCFF284JEI/, /files/ENCFF569SHN/, /files/ENCFF990BDZ/, /files/ENCFF274LEX/, /files/ENCFF800GUG/, /files/ENCFF698OND/, /files/ENCFF016EQS/, /files/ENCFF289PMY/"
457,ENCFF000BFO,/experiments/ENCSR000AMB/,.,HepG2,.,"Bradley Bernstein, Broad",https://www.encodeproject.org/files/ENCFF000BFO/@@download/ENCFF000BFO.bigWig,signal,"/files/ENCFF463RRE/, /files/ENCFF574VLI/, /files/ENCFF162ADN/, /files/ENCFF066LYG/, /files/ENCFF642ZJC/, /files/ENCFF474ZPM/, /files/ENCFF854ELY/, /files/ENCFF356QYZ/, /files/ENCFF608CWZ/, /files/ENCFF881CNC/, /files/ENCFF369RYY/, /files/ENCFF653JWL/, /files/ENCFF255TUT/, /files/ENCFF274GMA/, /files/ENCFF122NRW/, /files/ENCFF645CCA/, /files/ENCFF719TUA/, /files/ENCFF303SPG/, /files/ENCFF149EKR/, /files/ENCFF943MYJ/, /files/ENCFF265ZJL/, /files/ENCFF705NOL/, /files/ENCFF569GTH/, /files/ENCFF165PBN/"
460,ENCFF001ESB,/experiments/ENCSR000DQL/,.,Caco-2,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001ESB/@@download/ENCFF001ESB.bigWig,raw signal,"/files/ENCFF001HAF/, /files/ENCFF001HAH/, /files/ENCFF001HAM/, /files/ENCFF863KCT/, /files/ENCFF851MPE/, /files/ENCFF168ONS/, /files/ENCFF610PHZ/"
461,ENCFF001ESC,/experiments/ENCSR000DQL/,.,Caco-2,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001ESC/@@download/ENCFF001ESC.bigWig,raw signal,"/files/ENCFF001HAF/, /files/ENCFF001HAH/, /files/ENCFF001HAM/, /files/ENCFF863KCT/, /files/ENCFF851MPE/, /files/ENCFF168ONS/, /files/ENCFF610PHZ/"
462,ENCFF001EUO,/experiments/ENCSR000DQT/,.,GM06990,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001EUO/@@download/ENCFF001EUO.bigWig,raw signal,"/files/ENCFF001HAZ/, /files/ENCFF001HBA/, /files/ENCFF001HBK/, /files/ENCFF897RSN/, /files/ENCFF186FRO/, /files/ENCFF262KDA/, /files/ENCFF131LGY/"
463,ENCFF001EUP,/experiments/ENCSR000DQT/,.,GM06990,.,"John Stamatoyannopoulos, UW",https://www.encodeproject.org/files/ENCFF001EUP/@@download/ENCFF001EUP.bigWig,raw signal,"/files/ENCFF001HAZ/, /files/ENCFF001HBA/, /files/ENCFF001HBK/, /files/ENCFF897RSN/, /files/ENCFF186FRO/, /files/ENCFF262KDA/, /files/ENCFF131LGY/"
